key,total,kept,dropped,kept_pct,example_value
name:sw,2,0,2,0.0,Shatt al Arab
source:name:oc,2,0,2,0.0,ieo-bdtopoc
alt_name:eo,2,0,2,0.0,Kaspia Maro
alt_name:io,2,0,2,0.0,Kaspia Maro
name:br,2,0,2,0.0,Mor Kaspia
name:io,2,0,2,0.0,Kaspia
name:is,2,0,2,0.0,Kaspíahaf
name:kmr,2,0,2,0.0,دەریایا قەزوینێ
name:mr,2,0,2,0.0,कॅस्पियन समुद्र
name:ms,2,0,2,0.0,Laut Kaspia
name:ota,2,0,2,0.0,خزر دنیزی
name:syc,2,0,2,0.0,ܝܡܐ ܕܐܝܒܪܝܐ
sqkm,2,0,2,0.0,371000
genus:wikidata,2,0,2,0.0,Q312094
roof:material,2,0,2,0.0,brick
whc:name,2,0,2,0.0,The Persian Garden
whc:website,2,0,2,0.0,http://whc.unesco.org/en/list/1372
alt_name:pt,2,0,2,0.0,Forte de Nossa Senhora da Conceição de Ormuz
alt_name:ml,2,0,2,0.0,ചിത്ഗർ തടാകം
garden:style,2,0,2,0.0,persian
alt_name:cs,2,0,2,0.0,Dašte Lút
alt_name:azb,2,0,2,0.0,اۇرمیه گؤلو
alt_name:hr,2,0,2,0.0,Urmijsko jezero
description:ru,2,0,2,0.0,Красный пляж на острове Хормоз — известный как «Остров Радуги» благодаря своим я
alt_name:ckb,2,0,2,0.0,کەنداوی فارس
alt_name:ur,2,0,2,0.0,خلیج عربی
int_name:en,2,0,2,0.0,Gulf of Iran;Persian Gulf
short_name:cs,2,0,2,0.0,Hormuz
name:ks,2,0,2,0.0,داغ تندی
region:type,2,0,2,0.0,mountain_area
importance,2,0,2,0.0,international
name:gl,2,0,2,0.0,Monte Damavand
sidewalk,2,0,2,0.0,both
website:tickets,2,0,2,0.0,http://www.wwl.ir/
garden:type,2,0,2,0.0,botanical
is_in:city,2,0,2,0.0,اردبیل
note:en,2,0,2,0.0,very rough extrapolation
usage,2,0,2,0.0,main
segregated,2,0,2,0.0,no
ref:sci,2,0,2,0.0,812022
place_of_worship:type,2,0,2,0.0,dakhma
name:fa-Latn,2,0,2,0.0,Mehrpadin
roof:colour,2,0,2,0.0,cyan
service_times,2,0,2,0.0,24/7
addr:state,2,0,2,0.0,اصفهان
golf,2,0,2,0.0,bunker
motor_vehicle,2,0,2,0.0,no
product,2,0,2,0.0,sewage
memorial,2,0,2,0.0,tomb
tower:type,2,0,2,0.0,minaret
produce,2,0,2,0.0,fish
fountain,2,0,2,0.0,water
cave:size,2,0,2,0.0,medium
geoglyph:language,2,0,2,0.0,persian
bench,2,0,2,0.0,yes
is_in:county,2,0,2,0.0,Golbahar
drinking_water:legal,2,0,2,0.0,no
taxon,2,0,2,0.0,Platanus
wikipedia:en,2,0,2,0.0,Darreh Khazineh
payment:cards,2,0,2,0.0,yes
communication:frequency,2,0,2,0.0,460475
free_flying:guest-guidelines,2,0,2,0.0,yes
free_flying:rigid,2,0,2,0.0,yes
free_flying:site_orientation,2,0,2,0.0,"SE,S,SW"
free_flying:tandem,2,0,2,0.0,yes
addr:place,2,0,2,0.0,لرد
mobile,2,0,2,0.0,+98 939 888 82 01
old_name,17,16,1,94.1,کاروانسرای شاه عباسی
inscription,4,3,1,75.0,yes
nat_name,3,2,1,66.7,سد بیدواز
reg_name,3,2,1,66.7,تپه ممه
name:bcl,1,0,1,0.0,Salog Shatt-al-Arab
name:frr,1,0,1,0.0,Schatt al-Arab
name:mg,1,0,1,0.0,Shatt al-Arab
name:scn,1,0,1,0.0,Shatt al-Arab
name:sd,1,0,1,0.0,شط العرب
name:wuu,1,0,1,0.0,阿拉伯河
name:xmf,1,0,1,0.0,შატ-ელ-არაბი
name:zh_yue,1,0,1,0.0,阿剌伯河
alt_name:glk,1,0,1,0.0,کاسپينˇ گر
name:af,1,0,1,0.0,Kaspiese See
name:av,1,0,1,0.0,Каспий ралъад
name:avk,1,0,1,0.0,Kaspa bira
name:az-cyr,1,0,1,0.0,Хәзәр дәнизи
name:bar,1,0,1,0.0,Kaspischs Meer
name:be-tarask,1,0,1,0.0,Касьпійскае мора
name:ce,1,0,1,0.0,Каспий-хӀорд
name:fo,1,0,1,0.0,Kaspiska havið
name:fur,1,0,1,0.0,Mâr Caspi
name:ga,1,0,1,0.0,Muir Chaisp
name:gan,1,0,1,0.0,裡海
name:hak,1,0,1,0.0,Lî-hói
name:jbo,1,0,1,0.0,"kaspi,an. xamsi"
name:kaa,1,0,1,0.0,Kaspiy teńizi
name:kab,1,0,1,0.0,Ilel n Kaspi
name:kbd,1,0,1,0.0,Хы Къарс
name:kk-Arab,1,0,1,0.0,كاسپىيي تەڭىزى
name:kn,1,0,1,0.0,ಕ್ಯಾಸ್ಪಿಯನ್ ಸಮುದ್ರ
name:ku-Arab,1,0,1,0.0,دەریایا قەزوینێ
name:lb,1,0,1,0.0,Kaspescht Mier
name:lbe,1,0,1,0.0,Каспи хьхьири
name:lez,1,0,1,0.0,Каспи гьуьл
name:lfn,1,0,1,0.0,Mar Caspio
name:lrc,1,0,1,0.0,دریا خزر
name:nan,1,0,1,0.0,Caspi Hái
name:nds-nl,1,0,1,0.0,Kaspiese Zee
name:roa-rup,1,0,1,0.0,Amarea Caspicâ
name:rue,1,0,1,0.0,Каспіцьке море
name:sah,1,0,1,0.0,Каспий байҕала
name:so,1,0,1,0.0,Bada Qaswiin
name:sq,1,0,1,0.0,Liqeni Kas
name:te,1,0,1,0.0,ఖాస్పియన్ సముద్రం
name:tl,1,0,1,0.0,Dagat Caspian
name:uz-cyr,1,0,1,0.0,Каспий денгизи
name:yi,1,0,1,0.0,קאספישער ים
name:yue,1,0,1,0.0,裏海
image_2,1,0,1,0.0,http://media.shabestan.ir/Original/archive/9-1-1391/IMAGE634685665871343545.jpg
building:part,1,0,1,0.0,no
end_date,1,0,1,0.0,1971
description:ar,1,0,1,0.0,"""شاطئ ريد في جزيرة هرمز، المعروفة باسم ""جزيرة قوس قزح"" بسبب مناظرها الطبيعية متع"
description:bn,1,0,1,0.0,"""হরমুজ দ্বীপের রেড বিচ—যা তার উজ্জ্বল, বহুরঙা প্রাকৃতিক দৃশ্যের জন্য ""রেইনবো আইল"
description:de,1,0,1,0.0,Der Red Beach auf der Insel Hormuz – bekannt als „Regenbogeninsel“ wegen ihrer l
description:es,1,0,1,0.0,"""La Playa Roja en la Isla de Hormuz—conocida como la ""Isla Arcoíris"" por sus vib"
description:fr,1,0,1,0.0,La plage rouge sur l’île d’Hormuz—surnommée « l’île Arc-en-ciel » pour ses paysa
description:hi,1,0,1,0.0,"""हॉरमूज द्वीप पर रेड बीच—जिसे अपने चमकीले, बहुरंगी परिदृश्यों के लिए ""रेनबो आइलै"
description:id,1,0,1,0.0,"""Pantai Merah di Pulau Hormuz—dikenal sebagai ""Pulau Pelangi"" karena lanskapnya "
description:ja,1,0,1,0.0,ホルムズ島のレッドビーチは、多色の鮮やかな景観から「虹の島」として知られており、鉄分を多く含む土壌からできた輝く赤い砂が特徴です。印象的な赤い海岸線とカラフルな
description:ko,1,0,1,0.0,"호르무즈 섬의 레드 비치는 다채로운 풍경으로 인해 '무지개 섬'으로 불리며, 철분이 풍부한 토양에서 생긴 빛나는 붉은 모래가 특징입니다. 눈길을"
description:pt,1,0,1,0.0,"""A Praia Vermelha na Ilha de Hormuz—conhecida como ""Ilha do Arco-Íris"" por suas "
description:ur,1,0,1,0.0,"""ہرمز جزیرے پر ریڈ بیچ—جو اپنے رنگارنگ اور متحرک مناظر کی وجہ سے ""رینبو آئی لینڈ"
description:zh,1,0,1,0.0,霍尔木兹岛的红沙滩——因其色彩斑斓的景观而被称为“彩虹岛”——以富含铁质的土壤形成的闪亮红沙为特色。醒目的红色海岸线和色彩缤纷的山丘，使这里成为一处独特而难忘的
male,1,0,1,0.0,only
alt_name:br,1,0,1,0.0,Pleg-mor Oman
alt_name:bs,1,0,1,0.0,Arapski Zaljev
alt_name:da,1,0,1,0.0,Den Arabiske Golf
alt_name:el,1,0,1,0.0,Αραβικός Κόλπος
alt_name:es,1,0,1,0.0,El Golfo Árabe
alt_name:he,1,0,1,0.0,אל-חליג' אל-ערבי
alt_name:hi,1,0,1,0.0,अरब की खाड़ी
alt_name:hu,1,0,1,0.0,Arab-öböl
alt_name:hy,1,0,1,0.0,Արաբական ծոց
alt_name:ja,1,0,1,0.0,アラビア湾
alt_name:ko,1,0,1,0.0,아라비아 만
alt_name:lfn,1,0,1,0.0,el Golfo Arabe
alt_name:nl,1,0,1,0.0,अरब खाडी
alt_name:pl,1,0,1,0.0,Zatoka Arabska
alt_name:sr,1,0,1,0.0,Арапски залив
alt_name:th,1,0,1,0.0,อ่าวอาหรับ
alt_name:tr,1,0,1,0.0,Arabi Körfezi
alt_name:yi,1,0,1,0.0,די אַראַביש גאַלף
alt_name:zh,1,0,1,0.0,阿拉伯湾
int_name:fr,1,0,1,0.0,Golfe d’Iran;Golfe Persique
name:ang,1,0,1,0.0,Persian Gulf
name:bs,1,0,1,0.0,Perzijski Zaljev
name:rw,1,0,1,0.0,Ikigobe cy'Abarabu
name:ug,1,0,1,0.0,Ghuba ya Arabia
source:int_name,1,0,1,0.0,"Limits of Oceans and Seas (IHO S-23), 3rd ed."
maxwidth,1,0,1,0.0,52 nautical miles
name:sr-Latn,1,0,1,0.0,Ormuski moreuz
short_name,1,0,1,0.0,Hormuz
no,1,0,1,0.0,reservoir
abandoned:man_made,1,0,1,0.0,bridge
ruined:man_made,1,0,1,0.0,bridge
opening_hours:covid19,1,0,1,0.0,off
multipolygon,1,0,1,0.0,yes
flood_prone,1,0,1,0.0,yes
is_in:state_code,1,0,1,0.0,IR-18
heritage:since,1,0,1,0.0,2016
source:heritage,1,0,1,0.0,http://www.unesco.org/new/en/member-states/single-view/news/the_marshlands_of_ir
source_ref,1,0,1,0.0,http://whc.unesco.org/en/list/1222
alt_name:bg,1,0,1,0.0,Астрабадски залив
alt_name:sh,1,0,1,0.0,Hasankolijski zaljev;Astarabadski zaljev
alt_name:uk,1,0,1,0.0,Горганська затока;Астрабадська затока
old_name:ru,1,0,1,0.0,полуостров Потёмкина
protected,1,0,1,0.0,yes
operator:short,1,0,1,0.0,TNC
operator:wikidata,1,0,1,0.0,Q1813186
ref:iranian_heritage,1,0,1,0.0,2030
route,1,0,1,0.0,road
toilets,1,0,1,0.0,yes
female,1,0,1,0.0,only
electrified,1,0,1,0.0,no
gauge,1,0,1,0.0,1435
railway,1,0,1,0.0,rail
passable,1,0,1,0.0,no
field,1,0,1,0.0,yes
petroglyph,1,0,1,0.0,relief
tree_form,1,0,1,0.0,natural
picture,1,0,1,0.0,http://images.kojaro.com/2015/12/TITR-4AAS1.jpg
FIXME,1,0,1,0.0,Translation needs to be checked
roof:height,1,0,1,0.0,12
name:en_1,1,0,1,0.0,Amir Chaqmaq Arcades
iucn_level,1,0,1,0.0,IV
ref:ir_national_heritage,1,0,1,0.0,29945
ruin_type,1,0,1,0.0,bath
location,1,0,1,0.0,outdoor
addr:housename,1,0,1,0.0,خانه تاریخی
buried:wikipedia,1,0,1,0.0,fa:ابوالحسن بیهقی
bin,1,0,1,0.0,yes
building:levels:underground,1,0,1,0.0,1
drinking_water:seasonal,1,0,1,0.0,yes
tower:construction,1,0,1,0.0,brick
noexit,1,0,1,0.0,yes
construction,1,0,1,0.0,yes
bath:open_air,1,0,1,0.0,no
hunting,1,0,1,0.0,no
genus:en,1,0,1,0.0,cupressus sempervirens
genus:wikipedia,1,0,1,0.0,fa:سرو (سرده)
est_height,1,0,1,0.0,5
est_length,1,0,1,0.0,52
maxspeed:advisory,1,0,1,0.0,40
valley,1,0,1,0.0,gorge
magic_wand,1,0,1,0.0,yes
baby,1,0,1,0.0,no
wood:density,1,0,1,0.0,dense
phone:mobile,1,0,1,0.0,09179245278
fortification_type,1,0,1,0.0,earthworks
addr:neighbourhood,1,0,1,0.0,بلوک دی
addr:suburb,1,0,1,0.0,مجموعه ویلایی اقاقیا
is_in:neighbourhood,1,0,1,0.0,Block D
is_in:suburb,1,0,1,0.0,مجموعه ویلایی اقاقیا
capacity:disabled,1,0,1,0.0,3
parking,1,0,1,0.0,underground
indoor,1,0,1,0.0,yes
addr:county,1,0,1,0.0,زیرکوه
addr:county:en,1,0,1,0.0,Zirkuh
addr:province:en,1,0,1,0.0,South Khorasan
addr:village:en,1,0,1,0.0,Afin
architectural_style,1,0,1,0.0,Timurid
ref:IR:heritage,1,0,1,0.0,2182
source:date,1,0,1,0.0,2026-01
pipeline,1,0,1,0.0,penstock
watermill:part,1,0,1,0.0,penstock
age,1,0,1,0.0,mature
crown_type,1,0,1,0.0,c
diameter_crown,1,0,1,0.0,15.7
health,1,0,1,0.0,5
monument,1,0,1,0.0,tree
species:es,1,0,1,0.0,Ciprés Mediterráneo
cemetery,1,0,1,0.0,grave
delivery,1,0,1,0.0,no
smoking,1,0,1,0.0,yes
takeaway,1,0,1,0.0,no
loc_name:ur,1,0,1,0.0,تپتان
long_name:ar,1,0,1,0.0,جبل تفتان
long_name:ur,1,0,1,0.0,کوہ تفقان
service:bicycle:pump,1,0,1,0.0,yes
man_made_1,1,0,1,0.0,yes
seamark:beacon_lateral:category,1,0,1,0.0,starboard
seamark:beacon_lateral:colour,1,0,1,0.0,green
seamark:beacon_lateral:shape,1,0,1,0.0,pole
seamark:beacon_lateral:system,1,0,1,0.0,iala-a
seamark:light:1:character,1,0,1,0.0,Fl
seamark:light:1:colour,1,0,1,0.0,green
seamark:light:1:group,1,0,1,0.0,1
seamark:light:1:height,1,0,1,0.0,12
seamark:light:1:period,1,0,1,0.0,5
seamark:light:1:range,1,0,1,0.0,10
seamark:light:1:sector_end,1,0,1,0.0,360
seamark:light:1:sector_start,1,0,1,0.0,0
seamark:light:1:sequence,1,0,1,0.0,0.5+(4.5)
seamark:name,1,0,1,0.0,Bandar-e Anzali new west mole light
size,1,0,1,0.0,large
drinkable,1,0,1,0.0,yes
site_name,1,0,1,0.0,www.jazan.ir/shirband
time,1,0,1,0.0,2018-09-17T07:51:40Z
outdoor,1,0,1,0.0,yes
name:alt,1,0,1,0.0,چمن متحرک چملی
reservation,1,0,1,0.0,no
craft,1,0,1,0.0,photographer
tents,1,0,1,0.0,yes
loc_name:en,1,0,1,0.0,Hasalkot
bridge:support,1,0,1,0.0,pier
free_flying:official,1,0,1,0.0,yes
internet_access:ssid,1,0,1,0.0,insageram-mohammad.mahdavi1
climbing:rock,1,0,1,0.0,granite
peak,1,0,1,0.0,hill
min_age,1,0,1,0.0,8
payment:coins,1,0,1,0.0,yes
payment:easycard,1,0,1,0.0,yes
payment:electronic_purses,1,0,1,0.0,yes
payment:nfc,1,0,1,0.0,yes
payment:telephone_cards,1,0,1,0.0,yes
cash_in,1,0,1,0.0,yes
name:fa:pronunciation,1,0,1,0.0,Deraxt-e Čenār-e Kohansāl-e Tafreš
map,1,0,1,0.0,yes
addr:city:en,1,0,1,0.0,Lerd tourist village
addr:full,1,0,1,0.0,"Lerd tourist village, Shahroud district, Khalkhal county, Ardabil province, Iran"
name:lld,1,0,1,0.0,Kuh-e-Ghal'eh (Ferdows)
lifeguard,1,0,1,0.0,yes
healthcare:speciality,1,0,1,0.0,plastic_surgery;otolaryngology
wreck:type,1,0,1,0.0,ship
wreck:visible_at_high_tide,1,0,1,0.0,yes
wreck:visible_at_low_tide,1,0,1,0.0,yes
information,1,0,1,0.0,yes
internet_access:fee,1,0,1,0.0,customers
outdoor_seating,1,0,1,0.0,yes
office,1,0,1,0.0,company
summit:register,1,0,1,0.0,local
name:tly,1,0,1,0.0,دوال کوه
